MediumVioletRed,C7,15,85
DeepPink,FF,14,93
PaleVioletRed,DB,70,93
HotPink,FF,69,B4
LightPink,FF,B6,C1
Pink,FF,C0,CB
DarkRed,8B,00,00
Red,FF,00,00
Firebrick,B2,22,22
Crimson,DC,14,3C
IndianRed,CD,5C,5C
LightCoral,F0,80,80
Salmon,FA,80,72
DarkSalmon,E9,96,7A
LightSalmon,FF,A0,7A
OrangeRed,FF,45,00
Tomato,FF,63,47
DarkOrange,FF,8C,00
Coral,FF,7F,50
Orange,FF,A5,00
DarkKhaki,BD,B7,6B
Gold,FF,D7,00
Khaki,F0,E6,8C
PeachPuff,FF,DA,B9
Yellow,FF,FF,00
PaleGoldenrod,EE,E8,AA
Moccasin,FF,E4,B5
PapayaWhip,FF,EF,D5
LightGoldenrodYellow,FA,FA,D2
LemonChiffon,FF,FA,CD
LightYellow,FF,FF,E0
Maroon,80,00,00
Brown,A5,2A,2A
SaddleBrown,8B,45,13
Sienna,A0,52,2D
Chocolate,D2,69,1E
DarkGoldenrod,B8,86,0B
Peru,CD,85,3F
RosyBrown,BC,8F,8F
Goldenrod,DA,A5,20
SandyBrown,F4,A4,60
Tan,D2,B4,8C
Burlywood,DE,B8,87
Wheat,F5,DE,B3
NavajoWhite,FF,DE,AD
Bisque,FF,E4,C4
BlanchedAlmond,FF,EB,CD
Cornsilk,FF,F8,DC
DarkGreen,00,64,00
Green,00,80,00
DarkOliveGreen,55,6B,2F
ForestGreen,22,8B,22
SeaGreen,2E,8B,57
Olive,80,80,00
OliveDrab,6B,8E,23
MediumSeaGreen,3C,B3,71
LimeGreen,32,CD,32
Lime,00,FF,00
SpringGreen,00,FF,7F
MediumSpringGreen,00,FA,9A
DarkSeaGreen,8F,BC,8F
MediumAquamarine,66,CD,AA
YellowGreen,9A,CD,32
LawnGreen,7C,FC,00
Chartreuse,7F,FF,00
LightGreen,90,EE,90
GreenYellow,AD,FF,2F
PaleGreen,98,FB,98
Teal,00,80,80
DarkCyan,00,8B,8B
LightSeaGreen,20,B2,AA
CadetBlue,5F,9E,A0
DarkTurquoise,00,CE,D1
MediumTurquoise,48,D1,CC
Turquoise,40,E0,D0
Aqua,00,FF,FF
Cyan,00,FF,FF
Aquamarine,7F,FF,D4
PaleTurquoise,AF,EE,EE
LightCyan,E0,FF,FF
Navy,00,00,80
DarkBlue,00,00,8B
MediumBlue,00,00,CD
Blue,00,00,FF
MidnightBlue,19,19,70
RoyalBlue,41,69,E1
SteelBlue,46,82,B4
DodgerBlue,1E,90,FF
DeepSkyBlue,00,BF,FF
CornflowerBlue,64,95,ED
SkyBlue,87,CE,EB
LightSkyBlue,87,CE,FA
LightSteelBlue,B0,C4,DE
LightBlue,AD,D8,E6
PowderBlue,B0,E0,E6
Indigo,4B,00,82
Purple,80,00,80
DarkMagenta,8B,00,8B
DarkViolet,94,00,D3
DarkSlateBlue,48,3D,8B
BlueViolet,8A,2B,E2
DarkOrchid,99,32,CC
Fuchsia,FF,00,FF
Magenta,FF,00,FF
SlateBlue,6A,5A,CD
MediumSlateBlue,7B,68,EE
MediumOrchid,BA,55,D3
MediumPurple,93,70,DB
Orchid,DA,70,D6
Violet,EE,82,EE
Plum,DD,A0,DD
Thistle,D8,BF,D8
Lavender,E6,E6,FA
MistyRose,FF,E4,E1
AntiqueWhite,FA,EB,D7
Linen,FA,F0,E6
Beige,F5,F5,DC
WhiteSmoke,F5,F5,F5
LavenderBlush,FF,F0,F5
OldLace,FD,F5,E6
AliceBlue,F0,F8,FF
Seashell,FF,F5,EE
GhostWhite,F8,F8,FF
Honeydew,F0,FF,F0
FloralWhite,FF,FA,F0
Azure,F0,FF,FF
MintCream,F5,FF,FA
Snow,FF,FA,FA
Ivory,FF,FF,F0
White,FF,FF,FF
Black,00,00,00
DarkSlateGray,2F,4F,4F
DimGray,69,69,69
SlateGray,70,80,90
Gray,80,80,80
LightSlateGray,77,88,99
DarkGray,A9,A9,A9
Silver,C0,C0,C0
LightGray,D3,D3,D3
Gainsboro,DC,DC,DC